id,slug,titolare,n_dataset,scoring,pct,findability,accessibility,interoperability,reusability,contextuality,n_nomi,in_ipa,ipa_nome,ipa_prov,ipa_reg
c_a944,,Comune di Bologna,699,385.0,95.06,100.0,100.0,90.0,75.0,20.0,23,1,Comune di Bologna,BO,Emilia-Romagna
c_f117,,Comune di Melpignano,8,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Melpignano,LE,Puglia
c_a479,,Comune di Asti,27,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Asti,AT,Piemonte
c_l746,,Comune di Verbania,3,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Verbania,VB,Piemonte
c_d761,,Comune di Francavilla Fontana,2,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Francavilla Fontana,BR,Puglia
p_ro,,Provincia di Rovigo,15,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Provincia di Rovigo,RO,Veneto
c_f152,,Comune di Mesagne,8,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Mesagne,BR,Puglia
arltl_0,,ARTI Puglia,13,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Agenzia Regionale per La Tecnologia e L'Innovazione della Regione Puglia,BA,Puglia
c_e805,,Comune di Magione,3,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Magione,PG,Umbria
c_i754,,Comune di Siracusa,10,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Siracusa,SR,Sicilia
asset,,ASSET Puglia,28,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Agenzia Regionale Strategica per Lo Sviluppo Ecosostenibile del Territorio,BA,Puglia
c_l858,,Comune di Vieste,5,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Vieste,FG,Puglia
c_h118,,Comune di Quartu Sant'Elena,11,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Quartu Sant'Elena,CA,Sardegna
c_b584,,Comune di Candela,4,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Candela,FG,Puglia
c_a638,,Comune di Barcellona Pozzo di Gotto,17,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Barcellona Pozzo di Gotto,ME,Sicilia
c_l702,,Comune di Vecchiano,3,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Vecchiano,PI,Toscana
p_bi,,Provincia di Biella,10,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Provincia di Biella,BI,Piemonte
eanln_rm,,"ENEA - Agenzia Nazionale per Le Nuove Tecnologie, L'Energia e Lo Sviluppo Economico Sostenibile",18,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,"Enea Agenzia Nazionale per Le Nuove Tecnologie, L'Energia e Lo Sviluppo Economico Sostenibile",RM,Lazio
unite,,Università degli Studi di Teramo,11,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Universita' degli Studi di Teramo,TE,Abruzzo
c_l115,,Comune di San Pietro in Lama,3,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Ternate,VA,Lombardia
c_g674,,Comune di Pinerolo,17,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Pinerolo,TO,Piemonte
c_a182,,Comune di Alessandria,7,385.0,95.06,100.0,100.0,90.0,75.0,20.0,2,1,Comune di Alessandria,AL,Piemonte
pm,,Politecnico di Milano,25,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Politecnico di Milano,MI,Lombardia
astvp,,Agenzia di Tutela della Salute della Val Padana,13,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Agenzia di Tutela della Salute della Val Padana,MN,Lombardia
