chiave,etichetta,slug,n_dataset,media,pct,mediana,min,max,rating,n_excellent,n_bad,n_publisher
9efc13b8-1d90-40b8-9447-9a71823448f5,Comune di Gravina di Catania,comune-di-gravina-di-catania,10,385.0,95.06,385,385,385,Excellent,10,0,1
65d89bdc-7a64-4d28-b3de-87c8b58faa43,Comunita Montana Valle Imagna,comunita-montana-valle-imagna,3,385.0,95.06,385,385,385,Excellent,3,0,1
21c6292b-f32c-4fd1-9f8d-a3392fde8392,Comune di Vecchiano,comune-di-vecchiano,3,385.0,95.06,385,385,385,Excellent,3,0,1
d185a6e2-5d7c-4c61-afd2-edb9fa47f182,Comune di Santo Stefano di Magra,comune-di-santo-stefano-di-magra,8,385.0,95.06,385,385,385,Excellent,8,0,1
9d4caa30-bcae-4df7-8ba0-ac85650bea46,Comune di Mola di Bari,comune-di-mola-di-bari,5,385.0,95.06,385,385,385,Excellent,5,0,1
9de58538-7d17-40da-bbf8-b6a17d3820dc,Comune di Valenzano,comune-di-valenzano,5,385.0,95.06,385,385,385,Excellent,5,0,1
fbdec4c2-891e-4e1f-828f-a9e86f31ae59,Comune di Ruvo di Puglia,comune-di-ruvo-di-puglia,5,385.0,95.06,385,385,385,Excellent,5,0,1
f5f9730b-e56c-4478-bda0-3ad6157f2751,Comune di Giaveno,comune-di-giaveno,5,385.0,95.06,385,385,385,Excellent,5,0,1
e1b846a5-8eab-44da-b13f-29f192abd0c6,Universita degli Studi di Urbino Carlo Bo,universita-degli-studi-di-urbino-carlo-bo,13,385.0,95.06,385,385,385,Excellent,13,0,1
6461fc81-dbf7-4790-9d8d-6efee4c0cb06,Agenzia di Tutela della Salute dell'Insubria,agenzia-di-tutela-della-salute-dell-insubria,10,385.0,95.06,385,385,385,Excellent,10,0,1
04d03e4d-13f6-4b1d-99eb-4bf11744cd16,Libero Consorzio Comunale di Agrigento,libero-consorzio-comunale-di-agrigento,11,385.0,95.06,385,385,385,Excellent,11,0,1
42c175f4-59d4-4f23-85f6-e9d6e8c9f920,Comune di Mandello del Lario,comune-di-mandello-del-lario,1,385.0,95.06,385,385,385,Excellent,1,0,1
250720a6-46e3-4f10-abe7-ec9902a49dd7,Comune di Terralba,comune-di-terralba,3,385.0,95.06,385,385,385,Excellent,3,0,1
15e75a8e-378b-4e6f-a414-ab8346c394b8,Comune di Castiglione del Lago,comune-di-castiglione-del-lago,3,385.0,95.06,385,385,385,Excellent,3,0,1
0bf640aa-bbd6-4bc8-9409-a5669af7ed19,Agenzia Regionale per il Lavoro la Formazione e l'Accreditamento,agenzia-regionale-per-il-lavoro-la-formazione-e-l-accreditamento,3,385.0,95.06,385,385,385,Excellent,3,0,1
727baae0-0f4e-44cb-89a0-a75385d48a1d,Comune di Vieste,comune-di-vieste,5,385.0,95.06,385,385,385,Excellent,5,0,1
e38a5663-2b13-40a0-8be9-b6e1f05d09d4,Comune di Magione,comune-di-magione,3,385.0,95.06,385,385,385,Excellent,3,0,1
8f03b401-6d17-4410-9dcb-9332966b7696,Unione dei Comuni Valdostani Valdigne Mont Blanc,unione-dei-comuni-valdostani-valdigne-mont-blanc,5,385.0,95.06,385,385,385,Excellent,5,0,1
